"","decile","IV","n","perc","data_type"
"1",1,"IV: 
persoonlijke_eigenschappen_spreektaal: 0
",1250,9.88533017002768,"real_conditional"
"2",1,"IV: 
persoonlijke_eigenschappen_spreektaal: 4
",1279,10.1146698299723,"real_conditional"
"3",2,"IV: 
persoonlijke_eigenschappen_spreektaal: 0
",1245,9.84578884934757,"real_conditional"
"4",2,"IV: 
persoonlijke_eigenschappen_spreektaal: 4
",1284,10.1542111506524,"real_conditional"
"5",3,"IV: 
persoonlijke_eigenschappen_spreektaal: 0
",1240,9.80624752866746,"real_conditional"
"6",3,"IV: 
persoonlijke_eigenschappen_spreektaal: 4
",1289,10.1937524713325,"real_conditional"
"7",4,"IV: 
persoonlijke_eigenschappen_spreektaal: 0
",1260,9.9644128113879,"real_conditional"
"8",4,"IV: 
persoonlijke_eigenschappen_spreektaal: 4
",1269,10.0355871886121,"real_conditional"
"9",5,"IV: 
persoonlijke_eigenschappen_spreektaal: 0
",1245,9.84578884934757,"real_conditional"
"10",5,"IV: 
persoonlijke_eigenschappen_spreektaal: 4
",1284,10.1542111506524,"real_conditional"
"11",6,"IV: 
persoonlijke_eigenschappen_spreektaal: 0
",1261,9.97232107552392,"real_conditional"
"12",6,"IV: 
persoonlijke_eigenschappen_spreektaal: 4
",1268,10.0276789244761,"real_conditional"
"13",7,"IV: 
persoonlijke_eigenschappen_spreektaal: 0
",1265,10.003954132068,"real_conditional"
"14",7,"IV: 
persoonlijke_eigenschappen_spreektaal: 4
",1264,9.99604586793199,"real_conditional"
"15",8,"IV: 
persoonlijke_eigenschappen_spreektaal: 0
",1280,10.1225780941083,"real_conditional"
"16",8,"IV: 
persoonlijke_eigenschappen_spreektaal: 4
",1249,9.87742190589166,"real_conditional"
"17",9,"IV: 
persoonlijke_eigenschappen_spreektaal: 0
",1282,10.1383946223804,"real_conditional"
"18",9,"IV: 
persoonlijke_eigenschappen_spreektaal: 4
",1247,9.86160537761961,"real_conditional"
"19",10,"IV: 
persoonlijke_eigenschappen_spreektaal: 0
",1317,10.4151838671412,"real_conditional"
"20",10,"IV: 
persoonlijke_eigenschappen_spreektaal: 4
",1212,9.58481613285884,"real_conditional"
"21",1,"IV: 
persoonlijke_eigenschappen_spreektaal: 0
",1223,9.77774224496322,"synth_conditional"
"22",1,"IV: 
persoonlijke_eigenschappen_spreektaal: 4
",1279,10.2254557083467,"synth_conditional"
"23",2,"IV: 
persoonlijke_eigenschappen_spreektaal: 0
",1215,9.71378317876559,"synth_conditional"
"24",2,"IV: 
persoonlijke_eigenschappen_spreektaal: 4
",1287,10.2894147745443,"synth_conditional"
"25",3,"IV: 
persoonlijke_eigenschappen_spreektaal: 0
",1219,9.74576271186441,"synth_conditional"
"26",3,"IV: 
persoonlijke_eigenschappen_spreektaal: 4
",1283,10.2574352414455,"synth_conditional"
"27",4,"IV: 
persoonlijke_eigenschappen_spreektaal: 0
",1230,9.83370642788615,"synth_conditional"
"28",4,"IV: 
persoonlijke_eigenschappen_spreektaal: 4
",1272,10.1694915254237,"synth_conditional"
"29",5,"IV: 
persoonlijke_eigenschappen_spreektaal: 0
",1233,9.85769107771027,"synth_conditional"
"30",5,"IV: 
persoonlijke_eigenschappen_spreektaal: 4
",1269,10.1455068755996,"synth_conditional"
"31",6,"IV: 
persoonlijke_eigenschappen_spreektaal: 0
",1227,9.80972177806204,"synth_conditional"
"32",6,"IV: 
persoonlijke_eigenschappen_spreektaal: 4
",1275,10.1934761752478,"synth_conditional"
"33",7,"IV: 
persoonlijke_eigenschappen_spreektaal: 0
",1256,10.0415733930285,"synth_conditional"
"34",7,"IV: 
persoonlijke_eigenschappen_spreektaal: 4
",1245,9.95362967700671,"synth_conditional"
"35",8,"IV: 
persoonlijke_eigenschappen_spreektaal: 0
",1274,10.1854812919731,"synth_conditional"
"36",8,"IV: 
persoonlijke_eigenschappen_spreektaal: 4
",1227,9.80972177806204,"synth_conditional"
"37",9,"IV: 
persoonlijke_eigenschappen_spreektaal: 0
",1280,10.2334505916214,"synth_conditional"
"38",9,"IV: 
persoonlijke_eigenschappen_spreektaal: 4
",1221,9.76175247841381,"synth_conditional"
"39",10,"IV: 
persoonlijke_eigenschappen_spreektaal: 0
",1351,10.8010873041254,"synth_conditional"
"40",10,"IV: 
persoonlijke_eigenschappen_spreektaal: 4
",1150,9.19411576590982,"synth_conditional"
