"","decile","IV","n","perc","data_type"
"1",1,"IV: 
afspraak_afgelopen_jaar_ontheffing: 0
",1007,9.67990002883784,"real"
"2",1,"IV: 
afspraak_afgelopen_jaar_ontheffing: 1
",214,11.1458333333333,"real"
"3",1,"IV: 
afspraak_afgelopen_jaar_ontheffing: 2
",43,13.8263665594855,"real"
"4",1,"IV: 
afspraak_afgelopen_jaar_ontheffing: 3
",1,9.09090909090909,"real"
"5",2,"IV: 
afspraak_afgelopen_jaar_ontheffing: 0
",996,9.57416129962511,"real"
"6",2,"IV: 
afspraak_afgelopen_jaar_ontheffing: 1
",225,11.71875,"real"
"7",2,"IV: 
afspraak_afgelopen_jaar_ontheffing: 2
",43,13.8263665594855,"real"
"8",2,"IV: 
afspraak_afgelopen_jaar_ontheffing: 3
",1,9.09090909090909,"real"
"9",3,"IV: 
afspraak_afgelopen_jaar_ontheffing: 0
",983,9.44919734691916,"real"
"10",3,"IV: 
afspraak_afgelopen_jaar_ontheffing: 1
",238,12.3958333333333,"real"
"11",3,"IV: 
afspraak_afgelopen_jaar_ontheffing: 2
",42,13.5048231511254,"real"
"12",3,"IV: 
afspraak_afgelopen_jaar_ontheffing: 3
",2,18.1818181818182,"real"
"13",4,"IV: 
afspraak_afgelopen_jaar_ontheffing: 0
",1016,9.76641353455734,"real"
"14",4,"IV: 
afspraak_afgelopen_jaar_ontheffing: 1
",214,11.1458333333333,"real"
"15",4,"IV: 
afspraak_afgelopen_jaar_ontheffing: 2
",34,10.9324758842444,"real"
"16",4,"IV: 
afspraak_afgelopen_jaar_ontheffing: 3
",1,9.09090909090909,"real"
"17",5,"IV: 
afspraak_afgelopen_jaar_ontheffing: 0
",1001,9.62222435835817,"real"
"18",5,"IV: 
afspraak_afgelopen_jaar_ontheffing: 1
",229,11.9270833333333,"real"
"19",5,"IV: 
afspraak_afgelopen_jaar_ontheffing: 2
",35,11.2540192926045,"real"
"20",6,"IV: 
afspraak_afgelopen_jaar_ontheffing: 0
",1017,9.77602614630395,"real"
"21",6,"IV: 
afspraak_afgelopen_jaar_ontheffing: 1
",210,10.9375,"real"
"22",6,"IV: 
afspraak_afgelopen_jaar_ontheffing: 2
",36,11.5755627009646,"real"
"23",6,"IV: 
afspraak_afgelopen_jaar_ontheffing: 3
",1,9.09090909090909,"real"
"24",7,"IV: 
afspraak_afgelopen_jaar_ontheffing: 0
",1049,10.0836297221955,"real"
"25",7,"IV: 
afspraak_afgelopen_jaar_ontheffing: 1
",182,9.47916666666667,"real"
"26",7,"IV: 
afspraak_afgelopen_jaar_ontheffing: 2
",29,9.32475884244373,"real"
"27",7,"IV: 
afspraak_afgelopen_jaar_ontheffing: 3
",4,36.3636363636364,"real"
"28",8,"IV: 
afspraak_afgelopen_jaar_ontheffing: 0
",1063,10.2182062866481,"real"
"29",8,"IV: 
afspraak_afgelopen_jaar_ontheffing: 1
",174,9.0625,"real"
"30",8,"IV: 
afspraak_afgelopen_jaar_ontheffing: 2
",26,8.36012861736334,"real"
"31",8,"IV: 
afspraak_afgelopen_jaar_ontheffing: 3
",1,9.09090909090909,"real"
"32",9,"IV: 
afspraak_afgelopen_jaar_ontheffing: 0
",1102,10.5930981447659,"real"
"33",9,"IV: 
afspraak_afgelopen_jaar_ontheffing: 1
",142,7.39583333333333,"real"
"34",9,"IV: 
afspraak_afgelopen_jaar_ontheffing: 2
",20,6.43086816720257,"real"
"35",10,"IV: 
afspraak_afgelopen_jaar_ontheffing: 0
",1169,11.2371431317889,"real"
"36",10,"IV: 
afspraak_afgelopen_jaar_ontheffing: 1
",92,4.79166666666667,"real"
"37",10,"IV: 
afspraak_afgelopen_jaar_ontheffing: 2
",3,0.964630225080386,"real"
"38",1,"IV: 
afspraak_afgelopen_jaar_ontheffing: 0
",1262,9.98022933965994,"real_conditional"
"39",1,"IV: 
afspraak_afgelopen_jaar_ontheffing: 1
",1262,9.98022933965994,"real_conditional"
"40",1,"IV: 
afspraak_afgelopen_jaar_ontheffing: 2
",1267,10.0197706603401,"real_conditional"
"41",1,"IV: 
afspraak_afgelopen_jaar_ontheffing: 3
",1267,10.0197706603401,"real_conditional"
"42",2,"IV: 
afspraak_afgelopen_jaar_ontheffing: 0
",1264,9.99604586793199,"real_conditional"
"43",2,"IV: 
afspraak_afgelopen_jaar_ontheffing: 1
",1264,9.99604586793199,"real_conditional"
"44",2,"IV: 
afspraak_afgelopen_jaar_ontheffing: 2
",1265,10.003954132068,"real_conditional"
