"","decile","IV","n","perc","data_type"
"1",1,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",995,13.1353135313531,"real"
"2",1,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",270,5.32544378698225,"real"
"3",2,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",906,11.960396039604,"real"
"4",2,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",359,7.08086785009862,"real"
"5",3,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",824,10.8778877887789,"real"
"6",3,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",441,8.69822485207101,"real"
"7",4,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",736,9.71617161716172,"real"
"8",4,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",529,10.4339250493097,"real"
"9",5,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",707,9.33333333333333,"real"
"10",5,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",558,11.0059171597633,"real"
"11",6,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",695,9.17491749174918,"real"
"12",6,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",569,11.2228796844181,"real"
"13",7,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",706,9.32013201320132,"real"
"14",7,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",558,11.0059171597633,"real"
"15",8,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",687,9.06930693069307,"real"
"16",8,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",577,11.3806706114398,"real"
"17",9,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",675,8.91089108910891,"real"
"18",9,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",589,11.6173570019724,"real"
"19",10,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",644,8.5016501650165,"real"
"20",10,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",620,12.2287968441815,"real"
"21",1,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",1262,9.98022933965994,"real_conditional"
"22",1,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",1267,10.0197706603401,"real_conditional"
"23",2,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",1266,10.011862396204,"real_conditional"
"24",2,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",1263,9.98813760379597,"real_conditional"
"25",3,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",1263,9.98813760379597,"real_conditional"
"26",3,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",1266,10.011862396204,"real_conditional"
"27",4,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",1266,10.011862396204,"real_conditional"
"28",4,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",1263,9.98813760379597,"real_conditional"
"29",5,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",1265,10.003954132068,"real_conditional"
"30",5,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",1264,9.99604586793199,"real_conditional"
"31",6,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",1265,10.003954132068,"real_conditional"
"32",6,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",1264,9.99604586793199,"real_conditional"
"33",7,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",1263,9.98813760379597,"real_conditional"
"34",7,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",1266,10.011862396204,"real_conditional"
"35",8,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",1264,9.99604586793199,"real_conditional"
"36",8,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",1265,10.003954132068,"real_conditional"
"37",9,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",1266,10.011862396204,"real_conditional"
"38",9,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",1263,9.98813760379597,"real_conditional"
"39",10,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",1265,10.003954132068,"real_conditional"
"40",10,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",1264,9.99604586793199,"real_conditional"
"41",1,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",779,11.4998523767346,"synth"
"42",1,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",486,8.27797649463465,"synth"
"43",2,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",742,10.953646294656,"synth"
"44",2,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",523,8.90819281212741,"synth"
"45",3,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",661,9.75789784470033,"synth"
"46",3,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",604,10.2878555612332,"synth"
"47",4,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",696,10.2745792736935,"synth"
"48",4,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",569,9.69170499063192,"synth"
"49",5,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",665,9.81694715087098,"synth"
"50",5,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",600,10.2197240674502,"synth"
"51",6,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",662,9.77266017124299,"synth"
"52",6,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",602,10.2537898143417,"synth"
"53",7,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",627,9.25597874224978,"synth"
"54",7,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",637,10.8499403849429,"synth"
"55",8,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",657,9.69884853852967,"synth"
"56",8,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",607,10.3389541815704,"synth"
"57",9,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",645,9.52170062001771,"synth"
"58",9,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",619,10.5433486629194,"synth"
"59",10,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",640,9.4478889873044,"synth"
"60",10,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",624,10.6285130301482,"synth"
"61",1,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",1249,9.98560921010553,"synth_conditional"
"62",1,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",1253,10.0175887432043,"synth_conditional"
"63",2,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",1249,9.98560921010553,"synth_conditional"
"64",2,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",1253,10.0175887432043,"synth_conditional"
"65",3,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",1251,10.0015989766549,"synth_conditional"
"66",3,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",1251,10.0015989766549,"synth_conditional"
"67",4,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",1249,9.98560921010553,"synth_conditional"
"68",4,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",1253,10.0175887432043,"synth_conditional"
"69",5,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",1252,10.0095938599296,"synth_conditional"
"70",5,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",1250,9.99360409338024,"synth_conditional"
"71",6,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",1254,10.0255836264791,"synth_conditional"
"72",6,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",1248,9.97761432683083,"synth_conditional"
"73",7,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",1251,10.0015989766549,"synth_conditional"
"74",7,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",1250,9.99360409338024,"synth_conditional"
"75",8,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",1248,9.97761432683083,"synth_conditional"
"76",8,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",1253,10.0175887432043,"synth_conditional"
"77",9,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",1252,10.0095938599296,"synth_conditional"
"78",9,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",1249,9.98560921010553,"synth_conditional"
"79",10,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 0
",1253,10.0175887432043,"synth_conditional"
"80",10,"IV: 
persoonlijke_eigenschappen_initiatief_opm: 1
",1248,9.97761432683083,"synth_conditional"
