"","decile","IV","n","perc","data_type"
"1",1,"IV: 
belemmering_financiele_problemen: 0
",1250,12.4675842808697,"real"
"2",1,"IV: 
belemmering_financiele_problemen: 1
",15,0.572737686139748,"real"
"3",2,"IV: 
belemmering_financiele_problemen: 0
",1200,11.9688809096349,"real"
"4",2,"IV: 
belemmering_financiele_problemen: 1
",65,2.48186330660557,"real"
"5",3,"IV: 
belemmering_financiele_problemen: 0
",1131,11.2806702573309,"real"
"6",3,"IV: 
belemmering_financiele_problemen: 1
",134,5.11645666284842,"real"
"7",4,"IV: 
belemmering_financiele_problemen: 0
",1045,10.4229004588071,"real"
"8",4,"IV: 
belemmering_financiele_problemen: 1
",220,8.40015273004964,"real"
"9",5,"IV: 
belemmering_financiele_problemen: 0
",1006,10.033911829244,"real"
"10",5,"IV: 
belemmering_financiele_problemen: 1
",259,9.88927071401298,"real"
"11",6,"IV: 
belemmering_financiele_problemen: 0
",950,9.475364053461,"real"
"12",6,"IV: 
belemmering_financiele_problemen: 1
",314,11.9893088965254,"real"
"13",7,"IV: 
belemmering_financiele_problemen: 0
",902,8.9966088170756,"real"
"14",7,"IV: 
belemmering_financiele_problemen: 1
",362,13.8220694921726,"real"
"15",8,"IV: 
belemmering_financiele_problemen: 0
",892,8.89686814282865,"real"
"16",8,"IV: 
belemmering_financiele_problemen: 1
",372,14.2038946162657,"real"
"17",9,"IV: 
belemmering_financiele_problemen: 0
",838,8.35826850189507,"real"
"18",9,"IV: 
belemmering_financiele_problemen: 1
",426,16.2657502863688,"real"
"19",10,"IV: 
belemmering_financiele_problemen: 0
",812,8.09894274885298,"real"
"20",10,"IV: 
belemmering_financiele_problemen: 1
",452,17.2584956090111,"real"
"21",1,"IV: 
belemmering_financiele_problemen: 0
",1339,10.5891656781337,"real_conditional"
"22",1,"IV: 
belemmering_financiele_problemen: 1
",1190,9.41083432186635,"real_conditional"
"23",2,"IV: 
belemmering_financiele_problemen: 0
",1271,10.0514037168841,"real_conditional"
"24",2,"IV: 
belemmering_financiele_problemen: 1
",1258,9.94859628311586,"real_conditional"
"25",3,"IV: 
belemmering_financiele_problemen: 0
",1273,10.0672202451562,"real_conditional"
"26",3,"IV: 
belemmering_financiele_problemen: 1
",1256,9.93277975484381,"real_conditional"
"27",4,"IV: 
belemmering_financiele_problemen: 0
",1260,9.9644128113879,"real_conditional"
"28",4,"IV: 
belemmering_financiele_problemen: 1
",1269,10.0355871886121,"real_conditional"
"29",5,"IV: 
belemmering_financiele_problemen: 0
",1271,10.0514037168841,"real_conditional"
"30",5,"IV: 
belemmering_financiele_problemen: 1
",1258,9.94859628311586,"real_conditional"
"31",6,"IV: 
belemmering_financiele_problemen: 0
",1227,9.70344009489917,"real_conditional"
"32",6,"IV: 
belemmering_financiele_problemen: 1
",1302,10.2965599051008,"real_conditional"
"33",7,"IV: 
belemmering_financiele_problemen: 0
",1269,10.0355871886121,"real_conditional"
"34",7,"IV: 
belemmering_financiele_problemen: 1
",1260,9.9644128113879,"real_conditional"
"35",8,"IV: 
belemmering_financiele_problemen: 0
",1252,9.90114669829972,"real_conditional"
"36",8,"IV: 
belemmering_financiele_problemen: 1
",1277,10.0988533017003,"real_conditional"
"37",9,"IV: 
belemmering_financiele_problemen: 0
",1235,9.76670620798735,"real_conditional"
"38",9,"IV: 
belemmering_financiele_problemen: 1
",1294,10.2332937920127,"real_conditional"
