"","decile","IV","n","perc","data_type"
"1",1,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 0
",1162,9.63276133631767,"real"
"2",1,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 1
",103,18.8299817184643,"real"
"3",2,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 0
",1179,9.77368813727928,"real"
"4",2,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 1
",83,15.1736745886654,"real"
"5",2,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 2
",2,6.66666666666667,"real"
"6",2,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 3
",1,20,"real"
"7",3,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 0
",1199,9.93948437370472,"real"
"8",3,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 1
",64,11.7001828153565,"real"
"9",3,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 2
",1,3.33333333333333,"real"
"10",3,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 3
",1,20,"real"
"11",4,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 0
",1202,9.96435380916853,"real"
"12",4,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 1
",56,10.2376599634369,"real"
"13",4,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 2
",7,23.3333333333333,"real"
"14",5,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 0
",1211,10.03896211556,"real"
"15",5,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 1
",51,9.3235831809872,"real"
"16",5,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 2
",3,10,"real"
"17",6,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 0
",1223,10.1384398574152,"real"
"18",6,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 1
",39,7.12979890310786,"real"
"19",6,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 2
",2,6.66666666666667,"real"
"20",7,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 0
",1224,10.1467296692365,"real"
"21",7,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 1
",35,6.39853747714808,"real"
"22",7,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 2
",4,13.3333333333333,"real"
"23",7,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 3
",1,20,"real"
"24",8,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 0
",1219,10.1052806101301,"real"
"25",8,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 1
",44,8.04387568555759,"real"
"26",8,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 2
",1,3.33333333333333,"real"
"27",9,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 0
",1224,10.1467296692365,"real"
"28",9,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 1
",36,6.58135283363803,"real"
"29",9,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 2
",3,10,"real"
"30",9,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 3
",1,20,"real"
"31",10,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 0
",1220,10.1135704219514,"real"
"32",10,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 1
",36,6.58135283363803,"real"
"33",10,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 2
",7,23.3333333333333,"real"
"34",10,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 3
",1,20,"real"
"35",1,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 0
",1263,9.98813760379597,"real_conditional"
"36",1,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 1
",1265,10.003954132068,"real_conditional"
"37",1,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 2
",1265,10.003954132068,"real_conditional"
"38",1,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 3
",1265,10.003954132068,"real_conditional"
"39",2,"IV: 
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt: 0
",1261,9.97232107552392,"real_conditional"
