"","decile","IV","n","perc","data_type"
"1",1,"IV: 
persoonlijke_eigenschappen_houding_opm: 0
",955,14.9499060738885,"real"
"2",1,"IV: 
persoonlijke_eigenschappen_houding_opm: 1
",310,4.95445101486335,"real"
"3",2,"IV: 
persoonlijke_eigenschappen_houding_opm: 0
",839,13.1340012523482,"real"
"4",2,"IV: 
persoonlijke_eigenschappen_houding_opm: 1
",426,6.80837462042512,"real"
"5",3,"IV: 
persoonlijke_eigenschappen_houding_opm: 0
",730,11.4276768941766,"real"
"6",3,"IV: 
persoonlijke_eigenschappen_houding_opm: 1
",535,8.55042352565127,"real"
"7",4,"IV: 
persoonlijke_eigenschappen_houding_opm: 0
",612,9.58046336881653,"real"
"8",4,"IV: 
persoonlijke_eigenschappen_houding_opm: 1
",653,10.4363113313089,"real"
"9",5,"IV: 
persoonlijke_eigenschappen_houding_opm: 0
",589,9.22041327489042,"real"
"10",5,"IV: 
persoonlijke_eigenschappen_houding_opm: 1
",676,10.8038996324117,"real"
"11",6,"IV: 
persoonlijke_eigenschappen_houding_opm: 0
",554,8.67251095804634,"real"
"12",6,"IV: 
persoonlijke_eigenschappen_houding_opm: 1
",710,11.3472910340419,"real"
"13",7,"IV: 
persoonlijke_eigenschappen_houding_opm: 0
",554,8.67251095804634,"real"
"14",7,"IV: 
persoonlijke_eigenschappen_houding_opm: 1
",710,11.3472910340419,"real"
"15",8,"IV: 
persoonlijke_eigenschappen_houding_opm: 0
",543,8.5003130870382,"real"
"16",8,"IV: 
persoonlijke_eigenschappen_houding_opm: 1
",721,11.5230941345693,"real"
"17",9,"IV: 
persoonlijke_eigenschappen_houding_opm: 0
",526,8.23418910457107,"real"
"18",9,"IV: 
persoonlijke_eigenschappen_houding_opm: 1
",738,11.7947898353844,"real"
"19",10,"IV: 
persoonlijke_eigenschappen_houding_opm: 0
",486,7.60801502817783,"real"
"20",10,"IV: 
persoonlijke_eigenschappen_houding_opm: 1
",778,12.4340738373022,"real"
"21",1,"IV: 
persoonlijke_eigenschappen_houding_opm: 0
",1262,9.98022933965994,"real_conditional"
"22",1,"IV: 
persoonlijke_eigenschappen_houding_opm: 1
",1267,10.0197706603401,"real_conditional"
"23",2,"IV: 
persoonlijke_eigenschappen_houding_opm: 0
",1266,10.011862396204,"real_conditional"
"24",2,"IV: 
persoonlijke_eigenschappen_houding_opm: 1
",1263,9.98813760379597,"real_conditional"
"25",3,"IV: 
persoonlijke_eigenschappen_houding_opm: 0
",1264,9.99604586793199,"real_conditional"
"26",3,"IV: 
persoonlijke_eigenschappen_houding_opm: 1
",1265,10.003954132068,"real_conditional"
"27",4,"IV: 
persoonlijke_eigenschappen_houding_opm: 0
",1260,9.9644128113879,"real_conditional"
"28",4,"IV: 
persoonlijke_eigenschappen_houding_opm: 1
",1269,10.0355871886121,"real_conditional"
"29",5,"IV: 
persoonlijke_eigenschappen_houding_opm: 0
",1264,9.99604586793199,"real_conditional"
"30",5,"IV: 
persoonlijke_eigenschappen_houding_opm: 1
",1265,10.003954132068,"real_conditional"
"31",6,"IV: 
persoonlijke_eigenschappen_houding_opm: 0
",1260,9.9644128113879,"real_conditional"
"32",6,"IV: 
persoonlijke_eigenschappen_houding_opm: 1
",1269,10.0355871886121,"real_conditional"
"33",7,"IV: 
persoonlijke_eigenschappen_houding_opm: 0
",1268,10.0276789244761,"real_conditional"
"34",7,"IV: 
persoonlijke_eigenschappen_houding_opm: 1
",1261,9.97232107552392,"real_conditional"
"35",8,"IV: 
persoonlijke_eigenschappen_houding_opm: 0
",1263,9.98813760379597,"real_conditional"
"36",8,"IV: 
persoonlijke_eigenschappen_houding_opm: 1
",1266,10.011862396204,"real_conditional"
"37",9,"IV: 
persoonlijke_eigenschappen_houding_opm: 0
",1265,10.003954132068,"real_conditional"
"38",9,"IV: 
persoonlijke_eigenschappen_houding_opm: 1
",1264,9.99604586793199,"real_conditional"
"39",10,"IV: 
persoonlijke_eigenschappen_houding_opm: 0
",1273,10.0672202451562,"real_conditional"
"40",10,"IV: 
persoonlijke_eigenschappen_houding_opm: 1
",1256,9.93277975484381,"real_conditional"
"41",1,"IV: 
persoonlijke_eigenschappen_houding_opm: 0
",744,12.2388550748478,"synth"
"42",1,"IV: 
persoonlijke_eigenschappen_houding_opm: 1
",521,7.93481571733171,"synth"
"43",2,"IV: 
persoonlijke_eigenschappen_houding_opm: 0
",679,11.1696002632012,"synth"
"44",2,"IV: 
persoonlijke_eigenschappen_houding_opm: 1
",586,8.92476393542492,"synth"
"45",3,"IV: 
persoonlijke_eigenschappen_houding_opm: 0
",625,10.2812962658332,"synth"
"46",3,"IV: 
persoonlijke_eigenschappen_houding_opm: 1
",640,9.74718245507158,"synth"
"47",4,"IV: 
persoonlijke_eigenschappen_houding_opm: 0
",605,9.95229478532653,"synth"
