"","decile","IV","n","perc","data_type"
"1",1,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 0
",1246,11.7970081423973,"real"
"2",1,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 1
",19,0.921435499515034,"real"
"3",2,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 0
",1199,11.3520166635107,"real"
"4",2,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 1
",66,3.2007759456838,"real"
"5",3,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 0
",1130,10.69873130089,"real"
"6",3,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 1
",135,6.5470417070805,"real"
"7",4,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 0
",1053,9.96970270782049,"real"
"8",4,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 1
",212,10.2812803103783,"real"
"9",5,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 0
",1049,9.9318310925961,"real"
"10",5,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 1
",215,10.4267701260912,"real"
"11",5,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 2
",1,5,"real"
"12",6,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 0
",1017,9.62885817080099,"real"
"13",6,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 1
",245,11.8816682832202,"real"
"14",6,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 2
",2,10,"real"
"15",7,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 0
",985,9.32588524900587,"real"
"16",7,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 1
",277,13.4335596508244,"real"
"17",7,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 2
",2,10,"real"
"18",8,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 0
",1024,9.69513349744367,"real"
"19",8,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 1
",238,11.5421920465567,"real"
"20",8,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 2
",2,10,"real"
"21",9,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 0
",961,9.09865555765953,"real"
"22",9,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 1
",298,14.4519883608147,"real"
"23",9,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 2
",5,25,"real"
"24",10,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 0
",898,8.5021776178754,"real"
"25",10,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 1
",357,17.3132880698351,"real"
"26",10,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 2
",8,40,"real"
"27",10,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 3
",1,100,"real"
"28",1,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 0
",1268,10.0276789244761,"real_conditional"
"29",1,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 1
",1264,9.99604586793199,"real_conditional"
"30",1,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 2
",1263,9.98813760379597,"real_conditional"
"31",1,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 3
",1263,9.98813760379597,"real_conditional"
"32",2,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 0
",1267,10.0197706603401,"real_conditional"
"33",2,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 1
",1263,9.98813760379597,"real_conditional"
"34",2,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 2
",1264,9.99604586793199,"real_conditional"
"35",2,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 3
",1264,9.99604586793199,"real_conditional"
"36",3,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 0
",1263,9.98813760379597,"real_conditional"
"37",3,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 1
",1265,10.003954132068,"real_conditional"
"38",3,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 2
",1265,10.003954132068,"real_conditional"
"39",3,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 3
",1265,10.003954132068,"real_conditional"
"40",4,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 0
",1264,9.99604586793199,"real_conditional"
"41",4,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 1
",1265,10.003954132068,"real_conditional"
"42",4,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 2
",1265,10.003954132068,"real_conditional"
"43",4,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 3
",1264,9.99604586793199,"real_conditional"
"44",5,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 0
",1263,9.98813760379597,"real_conditional"
"45",5,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 1
",1265,10.003954132068,"real_conditional"
"46",5,"IV: 
competentie_met_druk_en_tegenslag_omgaan: 2
",1265,10.003954132068,"real_conditional"
