"","decile","IV","n","perc","data_type"
"1",1,"IV: 
competentie_ethisch_en_integer_handelen: 0
",1254,11.2648221343874,"real"
"2",1,"IV: 
competentie_ethisch_en_integer_handelen: 1
",11,0.731382978723404,"real"
"3",2,"IV: 
competentie_ethisch_en_integer_handelen: 0
",1215,10.9144807761409,"real"
"4",2,"IV: 
competentie_ethisch_en_integer_handelen: 1
",50,3.32446808510638,"real"
"5",3,"IV: 
competentie_ethisch_en_integer_handelen: 0
",1171,10.5192238591448,"real"
"6",3,"IV: 
competentie_ethisch_en_integer_handelen: 1
",94,6.25,"real"
"7",4,"IV: 
competentie_ethisch_en_integer_handelen: 0
",1116,10.0251527128997,"real"
"8",4,"IV: 
competentie_ethisch_en_integer_handelen: 1
",149,9.90691489361702,"real"
"9",5,"IV: 
competentie_ethisch_en_integer_handelen: 0
",1115,10.0161696011498,"real"
"10",5,"IV: 
competentie_ethisch_en_integer_handelen: 1
",149,9.90691489361702,"real"
"11",5,"IV: 
competentie_ethisch_en_integer_handelen: 2
",1,11.1111111111111,"real"
"12",6,"IV: 
competentie_ethisch_en_integer_handelen: 0
",1098,9.86345670140136,"real"
"13",6,"IV: 
competentie_ethisch_en_integer_handelen: 1
",166,11.0372340425532,"real"
"14",7,"IV: 
competentie_ethisch_en_integer_handelen: 0
",1080,9.70176068990298,"real"
"15",7,"IV: 
competentie_ethisch_en_integer_handelen: 1
",183,12.1675531914894,"real"
"16",7,"IV: 
competentie_ethisch_en_integer_handelen: 2
",1,11.1111111111111,"real"
"17",8,"IV: 
competentie_ethisch_en_integer_handelen: 0
",1068,9.59396334890406,"real"
"18",8,"IV: 
competentie_ethisch_en_integer_handelen: 1
",196,13.031914893617,"real"
"19",9,"IV: 
competentie_ethisch_en_integer_handelen: 0
",1052,9.4502335609055,"real"
"20",9,"IV: 
competentie_ethisch_en_integer_handelen: 1
",210,13.9627659574468,"real"
"21",9,"IV: 
competentie_ethisch_en_integer_handelen: 2
",2,22.2222222222222,"real"
"22",10,"IV: 
competentie_ethisch_en_integer_handelen: 0
",963,8.65073661516349,"real"
"23",10,"IV: 
competentie_ethisch_en_integer_handelen: 1
",296,19.6808510638298,"real"
"24",10,"IV: 
competentie_ethisch_en_integer_handelen: 2
",5,55.5555555555556,"real"
"25",1,"IV: 
competentie_ethisch_en_integer_handelen: 0
",1272,10.0593119810202,"real_conditional"
"26",1,"IV: 
competentie_ethisch_en_integer_handelen: 1
",1261,9.97232107552392,"real_conditional"
"27",1,"IV: 
competentie_ethisch_en_integer_handelen: 2
",1261,9.97232107552392,"real_conditional"
"28",2,"IV: 
competentie_ethisch_en_integer_handelen: 0
",1271,10.0514037168841,"real_conditional"
"29",2,"IV: 
competentie_ethisch_en_integer_handelen: 1
",1262,9.98022933965994,"real_conditional"
"30",2,"IV: 
competentie_ethisch_en_integer_handelen: 2
",1261,9.97232107552392,"real_conditional"
"31",3,"IV: 
competentie_ethisch_en_integer_handelen: 0
",1263,9.98813760379597,"real_conditional"
"32",3,"IV: 
competentie_ethisch_en_integer_handelen: 1
",1265,10.003954132068,"real_conditional"
"33",3,"IV: 
competentie_ethisch_en_integer_handelen: 2
",1266,10.011862396204,"real_conditional"
"34",4,"IV: 
competentie_ethisch_en_integer_handelen: 0
",1262,9.98022933965994,"real_conditional"
"35",4,"IV: 
competentie_ethisch_en_integer_handelen: 1
",1266,10.011862396204,"real_conditional"
"36",4,"IV: 
competentie_ethisch_en_integer_handelen: 2
",1266,10.011862396204,"real_conditional"
"37",5,"IV: 
competentie_ethisch_en_integer_handelen: 0
",1266,10.011862396204,"real_conditional"
"38",5,"IV: 
competentie_ethisch_en_integer_handelen: 1
",1264,9.99604586793199,"real_conditional"
