"","decile","IV","n","perc","data_type"
"1",1,"IV: 
belemmering_psychische_problemen: 0
",1033,11.495659915424,"real"
"2",1,"IV: 
belemmering_psychische_problemen: 1
",232,6.34053019950806,"real"
"3",2,"IV: 
belemmering_psychische_problemen: 0
",973,10.8279545960383,"real"
"4",2,"IV: 
belemmering_psychische_problemen: 1
",292,7.98032249248429,"real"
"5",3,"IV: 
belemmering_psychische_problemen: 0
",942,10.4829735143557,"real"
"6",3,"IV: 
belemmering_psychische_problemen: 1
",323,8.827548510522,"real"
"7",4,"IV: 
belemmering_psychische_problemen: 0
",860,9.57044291119519,"real"
"8",4,"IV: 
belemmering_psychische_problemen: 1
",405,11.0685979775895,"real"
"9",5,"IV: 
belemmering_psychische_problemen: 0
",817,9.09192076563543,"real"
"10",5,"IV: 
belemmering_psychische_problemen: 1
",448,12.2437824542225,"real"
"11",6,"IV: 
belemmering_psychische_problemen: 0
",825,9.18094814155353,"real"
"12",6,"IV: 
belemmering_psychische_problemen: 1
",439,11.997813610276,"real"
"13",7,"IV: 
belemmering_psychische_problemen: 0
",816,9.08079234364567,"real"
"14",7,"IV: 
belemmering_psychische_problemen: 1
",448,12.2437824542225,"real"
"15",8,"IV: 
belemmering_psychische_problemen: 0
",874,9.72624081905186,"real"
"16",8,"IV: 
belemmering_psychische_problemen: 1
",390,10.6586499043454,"real"
"17",9,"IV: 
belemmering_psychische_problemen: 0
",853,9.49254395726686,"real"
"18",9,"IV: 
belemmering_psychische_problemen: 1
",411,11.2325772068871,"real"
"19",10,"IV: 
belemmering_psychische_problemen: 0
",993,11.0505230358335,"real"
"20",10,"IV: 
belemmering_psychische_problemen: 1
",271,7.40639518994261,"real"
"21",1,"IV: 
belemmering_psychische_problemen: 0
",1265,10.003954132068,"real_conditional"
"22",1,"IV: 
belemmering_psychische_problemen: 1
",1264,9.99604586793199,"real_conditional"
"23",2,"IV: 
belemmering_psychische_problemen: 0
",1262,9.98022933965994,"real_conditional"
"24",2,"IV: 
belemmering_psychische_problemen: 1
",1267,10.0197706603401,"real_conditional"
"25",3,"IV: 
belemmering_psychische_problemen: 0
",1264,9.99604586793199,"real_conditional"
"26",3,"IV: 
belemmering_psychische_problemen: 1
",1265,10.003954132068,"real_conditional"
"27",4,"IV: 
belemmering_psychische_problemen: 0
",1262,9.98022933965994,"real_conditional"
"28",4,"IV: 
belemmering_psychische_problemen: 1
",1267,10.0197706603401,"real_conditional"
"29",5,"IV: 
belemmering_psychische_problemen: 0
",1264,9.99604586793199,"real_conditional"
