"","decile","IV","n","perc","data_type"
"1",1,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 0
",1116,9.74162011173184,"real"
"2",1,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 1
",146,13.1294964028777,"real"
"3",1,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 2
",3,4.22535211267606,"real"
"4",2,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 0
",1115,9.73289106145251,"real"
"5",2,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 1
",142,12.7697841726619,"real"
"6",2,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 2
",7,9.85915492957746,"real"
"7",2,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 3
",1,20,"real"
"8",3,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 0
",1126,9.82891061452514,"real"
"9",3,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 1
",130,11.6906474820144,"real"
"10",3,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 2
",7,9.85915492957746,"real"
"11",3,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 3
",2,40,"real"
"12",4,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 0
",1120,9.77653631284916,"real"
"13",4,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 1
",135,12.1402877697842,"real"
"14",4,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 2
",10,14.0845070422535,"real"
"15",5,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 0
",1122,9.79399441340782,"real"
"16",5,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 1
",137,12.3201438848921,"real"
"17",5,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 2
",6,8.45070422535211,"real"
"18",6,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 0
",1129,9.85509776536313,"real"
"19",6,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 1
",126,11.3309352517986,"real"
"20",6,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 2
",7,9.85915492957746,"real"
"21",6,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 3
",1,20,"real"
"22",6,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 4
",1,100,"real"
"23",7,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 0
",1140,9.95111731843575,"real"
"24",7,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 1
",113,10.1618705035971,"real"
"25",7,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 2
",11,15.4929577464789,"real"
"26",8,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 0
",1153,10.064594972067,"real"
"27",8,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 1
",101,9.08273381294964,"real"
"28",8,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 2
",10,14.0845070422535,"real"
"29",9,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 0
",1201,10.4835893854749,"real"
"30",9,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 1
",56,5.03597122302158,"real"
"31",9,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 2
",6,8.45070422535211,"real"
"32",9,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 3
",1,20,"real"
"33",10,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 0
",1234,10.7716480446927,"real"
"34",10,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 1
",26,2.33812949640288,"real"
"35",10,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 2
",4,5.63380281690141,"real"
"36",1,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 0
",1261,9.97232107552392,"real_conditional"
"37",1,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 1
",1328,10.5021747726374,"real_conditional"
"38",1,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 2
",1245,9.84578884934757,"real_conditional"
"39",1,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 3
",1245,9.84578884934757,"real_conditional"
"40",1,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 4
",1244,9.83788058521155,"real_conditional"
"41",2,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 0
",1262,9.98022933965994,"real_conditional"
"42",2,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 1
",1285,10.1621194147885,"real_conditional"
"43",2,"IV: 
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis: 2
",1259,9.95650454725188,"real_conditional"
