"","decile","IV","n","perc","data_type"
"1",1,"IV: 
competentie_vakdeskundigheid_toepassen: 0
",1215,17.1078569417066,"real"
"2",1,"IV: 
competentie_vakdeskundigheid_toepassen: 1
",49,0.908080059303188,"real"
"3",1,"IV: 
competentie_vakdeskundigheid_toepassen: 2
",1,0.709219858156028,"real"
"4",2,"IV: 
competentie_vakdeskundigheid_toepassen: 0
",1052,14.8127288087863,"real"
"5",2,"IV: 
competentie_vakdeskundigheid_toepassen: 1
",212,3.9288361749444,"real"
"6",2,"IV: 
competentie_vakdeskundigheid_toepassen: 2
",1,0.709219858156028,"real"
"7",3,"IV: 
competentie_vakdeskundigheid_toepassen: 0
",887,12.4894395944804,"real"
"8",3,"IV: 
competentie_vakdeskundigheid_toepassen: 1
",374,6.93106004447739,"real"
"9",3,"IV: 
competentie_vakdeskundigheid_toepassen: 2
",4,2.83687943262411,"real"
"10",4,"IV: 
competentie_vakdeskundigheid_toepassen: 0
",725,10.2083920022529,"real"
"11",4,"IV: 
competentie_vakdeskundigheid_toepassen: 1
",536,9.93328391401038,"real"
"12",4,"IV: 
competentie_vakdeskundigheid_toepassen: 2
",4,2.83687943262411,"real"
"13",5,"IV: 
competentie_vakdeskundigheid_toepassen: 0
",656,9.23683469445227,"real"
"14",5,"IV: 
competentie_vakdeskundigheid_toepassen: 1
",601,11.1378799110452,"real"
"15",5,"IV: 
competentie_vakdeskundigheid_toepassen: 2
",8,5.67375886524823,"real"
"16",6,"IV: 
competentie_vakdeskundigheid_toepassen: 0
",650,9.15235145029569,"real"
"17",6,"IV: 
competentie_vakdeskundigheid_toepassen: 1
",606,11.2305411415864,"real"
"18",6,"IV: 
competentie_vakdeskundigheid_toepassen: 2
",8,5.67375886524823,"real"
"19",7,"IV: 
competentie_vakdeskundigheid_toepassen: 0
",549,7.73021684032667,"real"
"20",7,"IV: 
competentie_vakdeskundigheid_toepassen: 1
",689,12.7687175685693,"real"
"21",7,"IV: 
competentie_vakdeskundigheid_toepassen: 2
",26,18.4397163120567,"real"
"22",8,"IV: 
competentie_vakdeskundigheid_toepassen: 0
",573,8.06814981695297,"real"
"23",8,"IV: 
competentie_vakdeskundigheid_toepassen: 1
",674,12.4907338769459,"real"
"24",8,"IV: 
competentie_vakdeskundigheid_toepassen: 2
",16,11.3475177304965,"real"
"25",8,"IV: 
competentie_vakdeskundigheid_toepassen: 3
",1,16.6666666666667,"real"
"26",9,"IV: 
competentie_vakdeskundigheid_toepassen: 0
",475,6.68825682906224,"real"
"27",9,"IV: 
competentie_vakdeskundigheid_toepassen: 1
",766,14.1957005189029,"real"
"28",9,"IV: 
competentie_vakdeskundigheid_toepassen: 2
",23,16.3120567375887,"real"
"29",10,"IV: 
competentie_vakdeskundigheid_toepassen: 0
",320,4.50577302168403,"real"
"30",10,"IV: 
competentie_vakdeskundigheid_toepassen: 1
",889,16.475166790215,"real"
"31",10,"IV: 
competentie_vakdeskundigheid_toepassen: 2
",50,35.4609929078014,"real"
"32",10,"IV: 
competentie_vakdeskundigheid_toepassen: 3
",5,83.3333333333333,"real"
"33",1,"IV: 
competentie_vakdeskundigheid_toepassen: 0
",2221,17.5642546461052,"real_conditional"
"34",1,"IV: 
competentie_vakdeskundigheid_toepassen: 1
",946,7.48121787267695,"real_conditional"
"35",1,"IV: 
competentie_vakdeskundigheid_toepassen: 2
",946,7.48121787267695,"real_conditional"
"36",1,"IV: 
competentie_vakdeskundigheid_toepassen: 3
",945,7.47330960854093,"real_conditional"
"37",2,"IV: 
competentie_vakdeskundigheid_toepassen: 0
",1364,10.7868722815342,"real_conditional"
"38",2,"IV: 
competentie_vakdeskundigheid_toepassen: 1
",1231,9.73507315144326,"real_conditional"
"39",2,"IV: 
competentie_vakdeskundigheid_toepassen: 2
",1231,9.73507315144326,"real_conditional"
"40",2,"IV: 
competentie_vakdeskundigheid_toepassen: 3
",1232,9.74298141557928,"real_conditional"
"41",3,"IV: 
competentie_vakdeskundigheid_toepassen: 0
",1237,9.78252273625939,"real_conditional"
"42",3,"IV: 
competentie_vakdeskundigheid_toepassen: 1
",1274,10.0751285092922,"real_conditional"
"43",3,"IV: 
competentie_vakdeskundigheid_toepassen: 2
",1274,10.0751285092922,"real_conditional"
"44",3,"IV: 
competentie_vakdeskundigheid_toepassen: 3
",1273,10.0672202451562,"real_conditional"
"45",4,"IV: 
competentie_vakdeskundigheid_toepassen: 0
",1094,8.65164096480822,"real_conditional"
