"","decile","IV","n","perc","data_type"
"1",1,"IV: 
afspraak_signaal_van_aanbieder: 0
",987,10.0172536283365,"real"
"2",1,"IV: 
afspraak_signaal_van_aanbieder: 1
",163,11.8804664723032,"real"
"3",1,"IV: 
afspraak_signaal_van_aanbieder: 2
",54,9.15254237288136,"real"
"4",1,"IV: 
afspraak_signaal_van_aanbieder: 3
",30,8.72093023255814,"real"
"5",1,"IV: 
afspraak_signaal_van_aanbieder: 4
",10,5.84795321637427,"real"
"6",1,"IV: 
afspraak_signaal_van_aanbieder: 5
",2,1.98019801980198,"real"
"7",2,"IV: 
afspraak_signaal_van_aanbieder: 0
",989,10.0375520146148,"real"
"8",2,"IV: 
afspraak_signaal_van_aanbieder: 1
",147,10.7142857142857,"real"
"9",2,"IV: 
afspraak_signaal_van_aanbieder: 15
",1,20,"real"
"10",2,"IV: 
afspraak_signaal_van_aanbieder: 2
",54,9.15254237288136,"real"
"11",2,"IV: 
afspraak_signaal_van_aanbieder: 3
",32,9.30232558139535,"real"
"12",2,"IV: 
afspraak_signaal_van_aanbieder: 4
",15,8.7719298245614,"real"
"13",2,"IV: 
afspraak_signaal_van_aanbieder: 5
",8,7.92079207920792,"real"
"14",3,"IV: 
afspraak_signaal_van_aanbieder: 0
",970,9.84471734497107,"real"
"15",3,"IV: 
afspraak_signaal_van_aanbieder: 1
",142,10.3498542274052,"real"
"16",3,"IV: 
afspraak_signaal_van_aanbieder: 10
",3,18.75,"real"
"17",3,"IV: 
afspraak_signaal_van_aanbieder: 15
",1,20,"real"
"18",3,"IV: 
afspraak_signaal_van_aanbieder: 2
",60,10.1694915254237,"real"
"19",3,"IV: 
afspraak_signaal_van_aanbieder: 3
",36,10.4651162790698,"real"
"20",3,"IV: 
afspraak_signaal_van_aanbieder: 4
",21,12.280701754386,"real"
"21",3,"IV: 
afspraak_signaal_van_aanbieder: 5
",12,11.8811881188119,"real"
"22",4,"IV: 
afspraak_signaal_van_aanbieder: 0
",944,9.58083832335329,"real"
"23",4,"IV: 
afspraak_signaal_van_aanbieder: 1
",159,11.5889212827988,"real"
"24",4,"IV: 
afspraak_signaal_van_aanbieder: 10
",2,12.5,"real"
"25",4,"IV: 
afspraak_signaal_van_aanbieder: 2
",67,11.3559322033898,"real"
"26",4,"IV: 
afspraak_signaal_van_aanbieder: 3
",45,13.0813953488372,"real"
"27",4,"IV: 
afspraak_signaal_van_aanbieder: 4
",17,9.94152046783626,"real"
"28",4,"IV: 
afspraak_signaal_van_aanbieder: 5
",11,10.8910891089109,"real"
"29",5,"IV: 
afspraak_signaal_van_aanbieder: 0
",916,9.29666091545722,"real"
"30",5,"IV: 
afspraak_signaal_van_aanbieder: 1
",165,12.0262390670554,"real"
"31",5,"IV: 
afspraak_signaal_van_aanbieder: 10
",2,12.5,"real"
"32",5,"IV: 
afspraak_signaal_van_aanbieder: 15
",1,20,"real"
"33",5,"IV: 
afspraak_signaal_van_aanbieder: 2
",83,14.0677966101695,"real"
"34",5,"IV: 
afspraak_signaal_van_aanbieder: 3
",40,11.6279069767442,"real"
"35",5,"IV: 
afspraak_signaal_van_aanbieder: 4
",20,11.6959064327485,"real"
"36",5,"IV: 
afspraak_signaal_van_aanbieder: 5
",18,17.8217821782178,"real"
"37",6,"IV: 
afspraak_signaal_van_aanbieder: 0
",958,9.72292702730133,"real"
"38",6,"IV: 
afspraak_signaal_van_aanbieder: 1
",154,11.2244897959184,"real"
"39",6,"IV: 
afspraak_signaal_van_aanbieder: 2
",61,10.3389830508475,"real"
"40",6,"IV: 
afspraak_signaal_van_aanbieder: 3
",40,11.6279069767442,"real"
"41",6,"IV: 
afspraak_signaal_van_aanbieder: 4
",21,12.280701754386,"real"
"42",6,"IV: 
afspraak_signaal_van_aanbieder: 5
",11,10.8910891089109,"real"
"43",7,"IV: 
afspraak_signaal_van_aanbieder: 0
",958,9.72292702730133,"real"
"44",7,"IV: 
afspraak_signaal_van_aanbieder: 1
",142,10.3498542274052,"real"
"45",7,"IV: 
afspraak_signaal_van_aanbieder: 10
",6,37.5,"real"
"46",7,"IV: 
afspraak_signaal_van_aanbieder: 15
",1,20,"real"
"47",7,"IV: 
afspraak_signaal_van_aanbieder: 2
",66,11.1864406779661,"real"
"48",7,"IV: 
afspraak_signaal_van_aanbieder: 3
",40,11.6279069767442,"real"
"49",7,"IV: 
afspraak_signaal_van_aanbieder: 4
",20,11.6959064327485,"real"
"50",7,"IV: 
afspraak_signaal_van_aanbieder: 5
",12,11.8811881188119,"real"
"51",8,"IV: 
afspraak_signaal_van_aanbieder: 0
",975,9.8954633106668,"real"
"52",8,"IV: 
afspraak_signaal_van_aanbieder: 1
",139,10.131195335277,"real"
"53",8,"IV: 
afspraak_signaal_van_aanbieder: 15
",1,20,"real"
"54",8,"IV: 
afspraak_signaal_van_aanbieder: 2
",68,11.5254237288136,"real"
"55",8,"IV: 
afspraak_signaal_van_aanbieder: 3
",33,9.59302325581395,"real"
"56",8,"IV: 
afspraak_signaal_van_aanbieder: 4
",18,10.5263157894737,"real"
"57",8,"IV: 
afspraak_signaal_van_aanbieder: 5
",11,10.8910891089109,"real"
