"","decile","IV","n","perc","data_type"
"1",1,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 0
",1255,11.4517747969705,"real"
"2",1,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 1
",10,0.596302921884317,"real"
"3",2,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 0
",1205,10.9955287891231,"real"
"4",2,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 1
",60,3.5778175313059,"real"
"5",3,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 0
",1151,10.5027831006479,"real"
"6",3,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 1
",114,6.79785330948122,"real"
"7",4,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 0
",1112,10.1469112145269,"real"
"8",4,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 1
",153,9.12343470483005,"real"
"9",5,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 0
",1083,9.88228852997536,"real"
"10",5,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 1
",182,10.8527131782946,"real"
"11",6,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 0
",1073,9.79103932840588,"real"
"12",6,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 1
",190,11.329755515802,"real"
"13",6,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 2
",1,11.1111111111111,"real"
"14",7,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 0
",1048,9.56291632448216,"real"
"15",7,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 1
",214,12.7608825283244,"real"
"16",7,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 2
",2,22.2222222222222,"real"
"17",8,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 0
",1039,9.48079204306962,"real"
"18",8,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 1
",222,13.2379248658318,"real"
"19",8,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 2
",3,33.3333333333333,"real"
"20",9,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 0
",1022,9.3256684004015,"real"
"21",9,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 1
",241,14.370900417412,"real"
"22",9,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 2
",1,11.1111111111111,"real"
"23",10,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 0
",971,8.86029747239712,"real"
"24",10,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 1
",291,17.3524150268336,"real"
"25",10,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 2
",2,22.2222222222222,"real"
"26",1,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 0
",1286,10.1700276789245,"real_conditional"
"27",1,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 1
",1254,9.91696322657177,"real_conditional"
"28",1,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 2
",1254,9.91696322657177,"real_conditional"
"29",2,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 0
",1275,10.0830367734282,"real_conditional"
"30",2,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 1
",1260,9.9644128113879,"real_conditional"
"31",2,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 2
",1259,9.95650454725188,"real_conditional"
"32",3,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 0
",1271,10.0514037168841,"real_conditional"
"33",3,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 1
",1261,9.97232107552392,"real_conditional"
"34",3,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 2
",1262,9.98022933965994,"real_conditional"
"35",4,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 0
",1272,10.0593119810202,"real_conditional"
"36",4,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 1
",1261,9.97232107552392,"real_conditional"
"37",4,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 2
",1261,9.97232107552392,"real_conditional"
"38",5,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 0
",1266,10.011862396204,"real_conditional"
"39",5,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 1
",1264,9.99604586793199,"real_conditional"
"40",5,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 2
",1264,9.99604586793199,"real_conditional"
"41",6,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 0
",1251,9.8932384341637,"real_conditional"
"42",6,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 1
",1271,10.0514037168841,"real_conditional"
"43",6,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 2
",1271,10.0514037168841,"real_conditional"
"44",7,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 0
",1274,10.0751285092922,"real_conditional"
"45",7,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 1
",1260,9.9644128113879,"real_conditional"
"46",7,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 2
",1259,9.95650454725188,"real_conditional"
"47",8,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 0
",1254,9.91696322657177,"real_conditional"
"48",8,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 1
",1269,10.0355871886121,"real_conditional"
"49",8,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 2
",1270,10.0434954527481,"real_conditional"
"50",9,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 0
",1253,9.90905496243574,"real_conditional"
"51",9,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 1
",1270,10.0434954527481,"real_conditional"
"52",9,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 2
",1270,10.0434954527481,"real_conditional"
"53",10,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 0
",1243,9.82997232107552,"real_conditional"
"54",10,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 1
",1275,10.0830367734282,"real_conditional"
"55",10,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 2
",1275,10.0830367734282,"real_conditional"
"56",1,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 0
",1128,10.6757524134015,"synth"
"57",1,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 1
",137,6.58970658970659,"synth"
"58",2,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 0
",1095,10.3634298693924,"synth"
"59",2,"IV: 
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten: 1
",170,8.17700817700818,"synth"
