"","decile","IV","n","perc","data_type"
"1",1,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 0
",1254,10.3876739562624,"real"
"2",1,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 1
",11,1.92644483362522,"real"
"3",2,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 0
",1245,10.3131212723658,"real"
"4",2,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 1
",20,3.50262697022767,"real"
"5",3,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 0
",1222,10.1225977468522,"real"
"6",3,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 1
",43,7.53064798598949,"real"
"7",4,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 0
",1195,9.89893969516236,"real"
"8",4,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 1
",70,12.2591943957968,"real"
"9",5,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 0
",1212,10.0397614314115,"real"
"10",5,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 1
",52,9.10683012259194,"real"
"11",5,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 2
",1,50,"real"
"12",6,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 0
",1194,9.89065606361829,"real"
"13",6,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 1
",70,12.2591943957968,"real"
"14",7,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 0
",1192,9.87408880053015,"real"
"15",7,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 1
",72,12.6094570928196,"real"
"16",8,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 0
",1187,9.83267064280981,"real"
"17",8,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 1
",76,13.3099824868651,"real"
"18",8,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 2
",1,50,"real"
"19",9,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 0
",1190,9.85752153744201,"real"
"20",9,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 1
",74,12.9597197898424,"real"
"21",10,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 0
",1181,9.78296885354539,"real"
"22",10,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 1
",83,14.5359019264448,"real"
"23",1,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 0
",1252,9.90114669829972,"real_conditional"
"24",1,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 1
",1271,10.0514037168841,"real_conditional"
"25",1,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 2
",1271,10.0514037168841,"real_conditional"
"26",2,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 0
",1262,9.98022933965994,"real_conditional"
"27",2,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 1
",1266,10.011862396204,"real_conditional"
"28",2,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 2
",1266,10.011862396204,"real_conditional"
"29",3,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 0
",1264,9.99604586793199,"real_conditional"
"30",3,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 1
",1265,10.003954132068,"real_conditional"
"31",3,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 2
",1265,10.003954132068,"real_conditional"
"32",4,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 0
",1265,10.003954132068,"real_conditional"
"33",4,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 1
",1265,10.003954132068,"real_conditional"
"34",4,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 2
",1264,9.99604586793199,"real_conditional"
"35",5,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 0
",1262,9.98022933965994,"real_conditional"
"36",5,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 1
",1266,10.011862396204,"real_conditional"
"37",5,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 2
",1266,10.011862396204,"real_conditional"
"38",6,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 0
",1266,10.011862396204,"real_conditional"
"39",6,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 1
",1263,9.98813760379597,"real_conditional"
"40",6,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 2
",1264,9.99604586793199,"real_conditional"
"41",7,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 0
",1265,10.003954132068,"real_conditional"
"42",7,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 1
",1264,9.99604586793199,"real_conditional"
"43",7,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 2
",1264,9.99604586793199,"real_conditional"
"44",8,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 0
",1267,10.0197706603401,"real_conditional"
"45",8,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 1
",1263,9.98813760379597,"real_conditional"
"46",8,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 2
",1263,9.98813760379597,"real_conditional"
"47",9,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 0
",1272,10.0593119810202,"real_conditional"
"48",9,"IV: 
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm: 1
",1261,9.97232107552392,"real_conditional"
